in:ID,in:Type,in:Dep,in:PWT,in:FAR,in:Len,in:RS,in:SS,out:GFA,out:LotCov,out:PC_1,out:PC_2,out:PC_3,out:PC_4,out:PC_5,img
87,0,40,30,10,60,10,0,80173,0.441,0,6.2,34.5,32.5,26.7,https://www.eddy3d.com/cornelltech-case-study/87.bmp
88,1,40,30,10,60,10,0,80302,0.443,0,6,34.3,33.2,26.5,https://www.eddy3d.com/cornelltech-case-study/88.bmp
89,2,40,30,10,60,10,0,78686,0.447,0,5.9,34,33.5,26.5,https://www.eddy3d.com/cornelltech-case-study/89.bmp
90,0,20,40,10,60,10,0,81359,0.414,0,6.8,33.4,31.3,28.4,https://www.eddy3d.com/cornelltech-case-study/90.bmp
91,1,20,40,10,60,10,0,81838,0.418,0,6.6,34.3,31.7,27.3,https://www.eddy3d.com/cornelltech-case-study/91.bmp
152,2,40,40,10,60,0,5,0,https://www.eddy3d.com/cornelltech-case-study/152.bmp
153,0,20,50,10,60,0,5,0,https://www.eddy3d.com/cornelltech-case-study/153.bmp
92,2,20,40,10,60,10,0,81591,0.447,0,5.9,33.8,32.6,27.8,https://www.eddy3d.com/cornelltech-case-study/92.bmp
154,1,20,50,10,60,0,5,0,https://www.eddy3d.com/cornelltech-case-study/154.bmp
155,2,20,50,10,60,0,5,0,https://www.eddy3d.com/cornelltech-case-study/155.bmp
93,0,30,40,10,60,10,0,81188,0.431,0.2,7,28.3,38.3,26.2,https://www.eddy3d.com/cornelltech-case-study/93.bmp
156,0,30,50,10,60,0,5,0,https://www.eddy3d.com/cornelltech-case-study/156.bmp
157,1,30,50,10,60,0,5,0,https://www.eddy3d.com/cornelltech-case-study/157.bmp
158,2,30,50,10,60,0,5,0,https://www.eddy3d.com/cornelltech-case-study/158.bmp
94,1,30,40,10,60,10,0,81033,0.435,0.2,7.4,28.3,39.6,24.5,https://www.eddy3d.com/cornelltech-case-study/94.bmp
159,0,40,50,10,60,0,5,0,https://www.eddy3d.com/cornelltech-case-study/159.bmp
95,2,30,40,10,60,10,0,81056,0.448,0,5,27.6,40.2,27.2,https://www.eddy3d.com/cornelltech-case-study/95.bmp
160,1,40,50,10,60,0,5,93925,0.459,https://www.eddy3d.com/cornelltech-case-study/160.bmp
152,2,40,40,10,60,0,5,0,https://www.eddy3d.com/cornelltech-case-study/152.bmp
